Problem,Rationale,options,correct,annotated_formula,linear_formula,category
what is the probability of getting 53 mondays in a leap year ?,"""in a leap year contains 52 monday ' s since 52 weeks are present and 2 days extra it may be sunday and monday 2 . monday and tuesday 3 . tuesday and thursday 4 . thursday and friday similary 7 alternatives are possible . among this only 2 are possible cases so 2 / 7 answer : b""","a ) 1 / 7 , b ) 2 / 7 , c ) 3 / 7 , d ) 4 / 7 , e ) 5 / 7",b,"divide(const_2, choose(add(const_3, const_3), const_3))","add(const_3,const_3)|choose(#0,const_3)|divide(const_2,#1)|",probability
in how many ways 5 boys and 5 girls can be seated in a row so that boys and girls are alternate ?,"""number of ways = 2 * 5 ! * 5 ! = 28800 answer is e""","a ) 28400 , b ) 28500 , c ) 28600 , d ) 28700 , e ) 28800",e,"multiply(factorial(5), factorial(5))","factorial(n0)|factorial(n1)|multiply(#0,#1)|",probability
"bill and jane play a simple game involving two fair dice , each of which has 6 sides numbered from 1 to 6 ( with an equal chance of landing on any side ) . bill rolls the dice and his score is the total of the two dice . jane then rolls the dice and her score is the total of her two dice . if jane ’ s score is higher than bill ’ s , she wins the game . what is the probability the jane will win the game ?","there are three possible outcomes in the game : 1 . b wins 2 . j wins 3 . draw so , 1 = p ( j ) + p ( b ) + p ( draw ) 1 = p ( j ) + p ( b ) + p ( draw ) the probability of b winning or j winning the game is same . so , 1 = 2 ∗ p ( j ) + p ( draw ) 1 = 2 ∗ p ( j ) + p ( draw ) so , we need to calculate the probability of a draw . a draw can happen when both will have the same sum . the possible sums are - 2 , 34 , 56 , 78 , 910 , 1112 prob . of each sum is - 2 - 11 - 1 / 36 3 - 1 2 , 2 1 - 2 / 36 4 - 1 3 , 2 2 , 3 1 - 3 / 36 5 - 1 4 , 2 3 , 3 2 , 41 - 4 / 36 6 - 1 5 , 2 4 , 3 3 , 4 2 , 5 1 - 5 / 36 7 - 1 6 , 2 5 , 3 4 , 4 3 , 5 2 , 61 - 6 / 36 8 - 2 6 , 3 5 , 4 4 , 5 3 , 6 2 , - 5 / 36 9 - 3 6 , 4 5 , 5 4 , 63 - 4 / 36 10 - 4 6 , 5 5 , 6 4 - 3 / 36 11 - 5 6 , 6 5 - 2 / 36 12 - 6 6 - 1 / 36 now , since both have to get the same sum , the probability will be same for both and the combined probability will be the square of the probabilities i . e . 2 - ( 1 / 36 ) ^ 2 3 - ( 2 / 36 ) ^ 2 etc . squaring the probabilities and adding them will give 146 / 1296 so , p ( d ) = 146 / 1296 1 = 2 * p ( j ) + p ( d ) 2 * p ( j ) = 1150 / 1296 p ( j ) = 575 / 1296 ans . c","a ) 15 / 36 , b ) 175 / 432 , c ) 575 / 1296 , d ) 583 / 1296 , e ) 1 / 2",c,"divide(subtract(1, divide(add(multiply(divide(multiply(multiply(subtract(6, 1), 6), add(multiply(subtract(6, 1), const_2), 1)), 6), const_2), multiply(6, 6)), power(multiply(6, 6), const_2))), const_2)","multiply(n0,n0)|subtract(n0,n1)|multiply(#1,const_2)|multiply(n0,#1)|power(#0,const_2)|add(n1,#2)|multiply(#5,#3)|divide(#6,n0)|multiply(#7,const_2)|add(#8,#0)|divide(#9,#4)|subtract(n1,#10)|divide(#11,const_2)",probability
"a string of 50 light bulbs is wired in such a way that if any individual light bulb fails , the entire string fails . if for each individual light bulb the probability of failing during time period t is 0.05 , what is the probability that the string of light bulbs will fail during the time period t ?","the string of light bulbs will fail if at least one light bulb fails . so , let ' s find the probability of the opposite event and subtract that value from 1 . the opposite event is when none of the 50 light bulbs fails , since the probability of each light bulb not to fail is 1 - 0.05 = 0.95 the the probability that none of the 50 light bulbs fails is 0.95 ^ 50 . hence , the probability that at least one light bulb fails is 1 - 0.95 ^ 50 . answer : d . now , you should have spotted that your reasoning was not right because of one simple thing , consider the case when we have 100 light bulbs instead of 50 , then according to your logic the probability that the string of light bulbs will fail would be 100 * 0.05 = 5 , which is not possible since the probability of an event can not be more than 1 ( 100 % ) .","a ) 0.05 , b ) ( 0.05 ) ^ 50 , c ) 1 - ( 0.96 ) ^ 50 , d ) 1 - ( 0.95 ) ^ 50 , e ) ( 0.95 ) ^ 50",d,"subtract(const_1, power(subtract(const_1, 0.05), 50))","subtract(const_1,n1)|power(#0,n0)|subtract(const_1,#1)",probability
"a bag contains 3 blue and 5 white marbles . one by one , marbles are drawn out randomly until only two are left in the bag . what is the probability q that out of the two , one is white and one is blue ?",the required probability q = probability of choosing 6 balls out of the total 8 in such a way that we remove 4 out of 5 white and 2 out of 3 blue balls . ways to select 6 out of total 8 = 8 c 6 ways to select 4 out of 5 white balls = 5 c 4 ways to select 2 out of 3 blue balls = 3 c 2 thus the required probability = ( 5 c 4 * 3 c 2 ) / 8 c 6 = 15 / 28 . d is thus the correct answer .,"a ) 15 / 56 , b ) 41 / 56 , c ) 13 / 28 , d ) 15 / 28 , e ) 5 / 14",d,"divide(multiply(3, 5), divide(multiply(add(3, 5), add(5, const_2)), const_2))","add(n0,n1)|add(n1,const_2)|multiply(n0,n1)|multiply(#0,#1)|divide(#3,const_2)|divide(#2,#4)",probability
6 animals of a circus has to be placed inside in 6 cages one in each cage . if 4 of the cage are too small for 6 of the animal then find the number of ways of caging the animal .,ways for cages that are too small = 5 * 4 * 3 * 2 = 120 since we have 2 cages and 2 animal left therefore ways for 2 cages = 2 ! total ways = 120 * 2 ! = 604800 answer a,"a ) a . 240 , b ) b . 808250 , c ) c . 502450 , d ) d . 784200 , e ) e . 302400",a,"multiply(multiply(6, 4), const_10)","multiply(n0,n2)|multiply(#0,const_10)",probability
if you throw two dice at a same time . can you find the probability of getting sum as 10 of the two numbers shown ?,"c 1 / 12 all possible cases can be 36 ( 6 * 6 ) case we need : [ ( 4,6 ) , ( 5,5 ) , ( 6,4 ) ] = 3 probability = > 3 / 36 = 1 / 12","a ) 1 / 16 , b ) 2 / 14 , c ) 1 / 12 , d ) 1 / 19 , e ) 1 / 17",c,"add(add(divide(const_1, power(const_6, const_2)), divide(const_1, power(const_6, const_2))), divide(const_1, power(const_6, const_2)))","power(const_6,const_2)|divide(const_1,#0)|add(#1,#1)|add(#2,#1)",probability
"how many positive integers less than 300 can be formed using the numbers 1 , 2 , 3 a for the digits ?","""notice that we can find the number of 2 and 3 digit numbers by just assuming the first digit can also be zero : 0 1 1 1 2 2 2 3 3 number of possibilities = 3 * 3 * 3 = 27 . then , just add up the number of 1 digits numbers = 3 , so total is 27 + 3 = 30 . answer : a""","a ) 30 , b ) 52 , c ) 66 , d ) 68 , e ) 84",a,"divide(factorial(subtract(add(const_4, 1), const_1)), multiply(factorial(1), factorial(subtract(const_4, const_1))))","add(n1,const_4)|factorial(n1)|subtract(const_4,const_1)|factorial(#2)|subtract(#0,const_1)|factorial(#4)|multiply(#1,#3)|divide(#5,#6)|",probability
"there is a 20 % chance sandy will visit china this year , while there is a 60 % chance that she will visit malaysia this year . what is the probability that sandy will visit either china or malaysia this year , but not both ?","""p ( china and not malaysia ) = 0.2 * 0.4 = 0.08 p ( malaysia and not china ) = 0.6 * 0.8 = 0.48 total probability = 0.08 + 0.48 = 0.56 = 56 % the answer is c .""","a ) 40 % , b ) 48 % , c ) 56 % , d ) 64 % , e ) 72 %",c,"divide(add(20, 60), multiply(multiply(const_5, const_5), const_4))","add(n0,n1)|multiply(const_5,const_5)|multiply(#1,const_4)|divide(#0,#2)|",probability
"a box contains 20 electric bulbs , out of which 4 are defective . two bulbs are chosen at random from this box . the probability that at least one of these is defective is","""explanation : please remember that maximum portability is 1 . so we can get total probability of non defective bulbs and subtract it form 1 to get total probability of defective bulbs . so here we go , total cases of non defective bulbs 16 c 2 = 16 ∗ 15 / 2 ∗ 1 = 120 total cases = 20 c 2 = 20 ∗ 19 / 2 ∗ 1 = 190 probability = 120 / 190 = 12 / 19 p of at least one defective = 1 − 12 / 19 = 7 / 19 option a""","a ) 7 / 19 , b ) 6 / 19 , c ) 5 / 19 , d ) 4 / 19 , e ) none of these",a,"subtract(const_1, divide(choose(subtract(20, 4), const_2), choose(20, const_2)))","choose(n0,const_2)|subtract(n0,n1)|choose(#1,const_2)|divide(#2,#0)|subtract(const_1,#3)|",probability
in a lottery there are 10 prizes and 25 blanks . a lottery is drawn at random . what is the probability of getting a blank ?,total draws = prizes + blanks = 10 + 25 = 35 probability of getting a blank = 25 / 35 = 5 / 7 correct option is c,"a ) 2 / 3 , b ) 6 / 7 , c ) 5 / 7 , d ) 8 / 7 , e ) 4 / 3",c,"divide(25, add(10, 25))","add(n0,n1)|divide(n1,#0)",probability
two letters from the word khantkar are selected at random . what is the probability that at least one of the selected letters is a consonant ?,"there are 6 consonants and 2 vowels in khantkar . probability that at least one of the selected letters is a consonant = 1 - ( probability of both vowels ) probability of both vowels = 2 c 2 / 8 c 2 = 1 / 28 so , answer is 1 - 1 / 28 = 27 / 28 answer : b","a ) 25 / 28 , b ) 27 / 28 , c ) 30 / 28 , d ) 40 / 28 , e ) 50 / 28",b,"negate_prob(divide(const_1, choose(multiply(const_2, const_4), const_2)))","multiply(const_2,const_4)|choose(#0,const_2)|divide(const_1,#1)|negate_prob(#2)",probability
persons a and b . person a picks a random no . from 1 to 1000 . then person b picks a random no . from 1 to 1000 . what is the probability of b getting no . greater then what a has picked .,probability of a choosing 1 and b greater = ( 1 / 1000 ) * ( 999 / 1000 ) ; probability of a choosing 2 and b greater = ( 1 / 1000 ) * ( 998 / 1000 ) ; probability of a choosing 3 and b greater = ( 1 / 1000 ) * ( 997 / 1000 ) ; . . . ; probability of a choosing 998 and b greater = ( 1 / 1000 ) * ( 2 / 1000 ) ; probability of a choosing 999 and b greater = ( 1 / 1000 ) * ( 1 / 1000 ) ; total = ( 1 / 1000 ) * ( 1 / 1000 ) * ( 999 + 998 + 997 + . . . + 2 + 1 ) = ( 1 / 1000 ) * ( 1 / 1000 ) * ( 999 * 1000 / 2 ) = 0.4995 answer : b,"a ) 0.3995 , b ) 0.4995 , c ) 0.5995 , d ) 0.6995 , e ) 0.7995",b,"divide(subtract(const_1, divide(1, 1000)), const_2)","divide(n0,n1)|subtract(const_1,#0)|divide(#1,const_2)",probability
"a certain club has 10 members , including jarry . one of the 10 members is chosen at random to be the president , one of the remaining 9 members is to be chosen at random to be the secretary , and one of the remaining 8 members is to be chosen at random to be the treasurer . what is the probability that jarry will be either the member chose to be secretary or the member chose to be treasurer ?","in order to become a secretary the person can not be chosen as a president . this can be done in 9 / 10 ways . then to become a secretary this person ' s probability is 1 / 9 probability to become a secretary = ( 9 / 10 * 1 / 9 ) = 1 / 10 similar concept for treasurer . probability of not president = 9 / 10 , probability of not secretary = 8 / 9 , probability of treasurer 1 / 8 probability to become a treasurer = ( 9 / 10 * 8 / 9 * 1 / 8 ) = 1 / 10 since , the problem is saying jarry secretary or treasurer it is addition : 1 / 10 + 1 / 10 = 1 / 5 = e","a ) 1 / 720 , b ) 1 / 80 , c ) 1 / 10 , d ) 1 / 9 , e ) 1 / 5",e,"subtract(const_1, add(divide(const_1, 10), multiply(multiply(divide(9, 10), divide(8, 9)), divide(subtract(8, const_1), 8))))","divide(const_1,n0)|divide(n2,n0)|divide(n3,n2)|subtract(n3,const_1)|divide(#3,n3)|multiply(#1,#2)|multiply(#4,#5)|add(#0,#6)|subtract(const_1,#7)",probability
two dice are thrown simultaneously . what is the probability of getting two numbers whose product is not an even ?,"total number of cases = 6 * 6 = 36 favourable cases = [ ( 1,3 ) , ( 1,5 ) , ( 1,1 ) , ( 3,1 ) , ( 3,3 ) , ( 3,5 ) , ( 5,1 ) , ( 5,3 ) , ( 5,5 ) ] = 9 so probability = 9 / 36 = 1 / 4 answer is b","a ) 1 / 2 , b ) 1 / 4 , c ) 2 / 3 , d ) 2 / 5 , e ) 3 / 7",b,"multiply(divide(const_3, add(const_3, const_3)), divide(const_3, add(const_3, const_3)))","add(const_3,const_3)|divide(const_3,#0)|multiply(#1,#1)",probability
"if 4 consecutive letters are selected at random from the english alphabet , then the probability that one of the letters is a vowel is ?","total no . of ways of selecting 4 consecutive letters = > 23 [ like abcd , bcde , efgh , . . etc ] no . of ways of having one is a vowel = > abcd , bcde , cdef , defg , efgh , fghi , ghij , hijk , ijkl , lmno , mnop , nopq , opqr , rstu , stuv , tuvw , uvwx . . . = 17 p ( one of letter is vowel ) = 17 / 23 answer : d","a ) 13 / 23 , b ) 16 / 23 , c ) 11 / 23 , d ) 17 / 23 , e ) 18 / 23",d,"subtract(const_1, divide(const_6, subtract(const_26, const_3)))","subtract(const_26,const_3)|divide(const_6,#0)|subtract(const_1,#1)",probability
there are 7 girls and 3 chairs . in how many ways girls can occupy the chairs ?,"""total girls = 7 total chairs = 3 1 st chair can be occupy in 7 ways 2 nd chair can be occupy in 6 ways 3 rd chair can be occupy in 5 ways total number of ways = 7 * 6 * 5 = 210 ways correct option is b""","a ) 760 , b ) 210 , c ) 560 , d ) 740 , e ) 800",b,"divide(7, 3)","divide(n0,n1)|",probability
"on a windy day , out of every 3 sand dunes formed , only 1 remains . out of 5 blown - out sand - dunes , 1 has treasure and only 2 out of 3 sand dunes formed have lucky coupons . find the probability that the blown - out sand dune will contain both the things .",probability of sand dune blown out = 2 / 3 probability that it has treasure = 1 / 5 probability that it has lucky coupon = 2 / 3 total probability = 2 / 3 * 1 / 5 * 2 / 3 = 4 / 45 answer : e,"a ) 2 / 25 , b ) 4 / 75 , c ) 7 / 75 , d ) 3 / 5 , e ) 4 / 45",e,"multiply(subtract(const_1, divide(1, 3)), multiply(divide(2, 3), divide(1, 5)))","divide(n4,n0)|divide(n1,n2)|divide(n1,n0)|multiply(#0,#1)|subtract(const_1,#2)|multiply(#3,#4)",probability
"in a certain animal population , for each of the first 3 months of life , the probability that an animal will die during that month is 1 / 10 . for a group of 700 newborn members of the population , approximately how many would be expected to survive the first 3 months of life ?","""number of newborns that can die in first month = 1 / 10 * 700 = 70 survived = 630 number of newborns that can die in second month = 1 / 10 * 630 = 63 survived = 567 number of newborns that can die in third month = 1 / 10 * 567 = 56 survived = 511 answer : a""","a ) 511 , b ) 546 , c ) 552 , d ) 562 , e ) 570",a,"multiply(multiply(multiply(700, subtract(1, divide(1, 10))), subtract(1, divide(1, 10))), subtract(1, divide(1, 10)))","divide(n1,n2)|subtract(n1,#0)|multiply(n3,#1)|multiply(#2,#1)|multiply(#3,#1)|",probability
"in a single throw of a die , what is probability of getting a number greater than 4 ?","""e = { 5,6 } n ( e ) = 2 p ( s ) = n ( e ) / n ( s ) = 2 / 6 = 1 / 3 ans : e""","a ) 2 / 3 , b ) 3 / 5 , c ) 4 / 7 , d ) 8 / 9 , e ) 1 / 3",e,"divide(const_2, add(4, const_2))","add(n0,const_2)|divide(const_2,#0)|",probability
"a bag contains 10 red jellybeans and 10 blue jellybeans . if 3 jellybeans are removed one at a time , at random and are not replaced , what is the probability y that all 3 jellybeans removed from the bag are blue ?","""method - 1 10 red jellybeans and 10 blue jellybeans total outcomes = no . of ways to choose 3 jelly bean at random out of a total 20 jellybeans = 20 c 3 = 1140 favourable outcomes = no . of ways to choose 3 jelly bean such that they are all blue out of 10 blue = 10 c 3 = 120 probability = favourable outcomes / total outcomes = 10 c 3 / 20 c 3 probability y = 120 / 1140 = 2 / 19 answer : option b method - 2 probability of first jelly bean to be blue = 10 / 20 [ total 10 blue out of total 20 jellybeans ] probability of second jelly bean to be blue = 9 / 19 [ total 9 blue remaining out of total 19 jellybeans remaining ] probability of third jelly bean to be blue = 8 / 18 [ total 8 blue remaining out of total 18 jellybeans remaining ] required probability = ( 10 / 20 ) * ( 9 / 19 ) * ( 8 / 18 ) = 2 / 19 answer : option b""","a ) 9 / 100 , b ) 2 / 19 , c ) 1 / 8 , d ) 3 / 20 , e ) 3 / 10",b,"divide(choose(10, 3), choose(add(10, 10), 3))","add(n0,n0)|choose(n0,n2)|choose(#0,n2)|divide(#1,#2)|",probability
the chance of rain on any given day in tel - aviv is 50 % . what is the probability a that it rained in tel - aviv on exactly 4 out of 6 randomly chosen days ?,"""chances of rain on exactly 4 days and not rain on 2 days = ( 1 / 2 ) ^ 4 * ( 1 / 2 ) ^ 2 = 1 / 64 chosing 4 days out of 6 = 6 ! / ( 4 ! * 2 ! ) = 15 chances of rain on exactly 4 days out of 6 days a = 15 / 64 ans a it is .""","a ) 15 / 64 , b ) 30 / 64 , c ) 1 / 2 , d ) 1 / 4 , e ) 52 / 64",a,"divide(choose(6, 4), inverse(multiply(power(divide(const_1, const_2), 4), power(divide(const_1, const_2), const_2))))","choose(n2,n1)|divide(const_1,const_2)|power(#1,n1)|power(#1,const_2)|multiply(#2,#3)|inverse(#4)|divide(#0,#5)|",probability
"how many different ways can 2 students be seated in a row of 7 desks , so that there is always at least one empty desk between the students ?",15 ways to seat the students : with two empty seats between 1 empty w / one student on the left most 1 empty . . . . right most two students can be interchanged 15 x 2 = 30 c,"a ) 2 , b ) 3 , c ) 30 , d ) 6 , e ) 12",c,"permutation(subtract(7, const_1), 2)","subtract(n1,const_1)|permutation(#0,n0)",probability
in 15 year ’ s time the combined age of my 4 brothers will be 107 . what will it be in the 6 year ’ s time ?,"c 71 combined age in 15 years = 107 . 4 × 15 = 60 , therefore combined age now is 107 – 60 = 47 . in 6 years time , therefore , combined age will be 47 + 24 ( 4 x 6 ) = 71 .","a ) 61 , b ) 78 , c ) 71 , d ) 68 , e ) 94",c,"add(subtract(107, multiply(15, 4)), multiply(6, 4))","multiply(n1,n3)|multiply(n0,n1)|subtract(n2,#1)|add(#0,#2)",probability
"what is the probability that the sum of two dice will yield a 8 , and then when both are thrown again , their sum will again yield a 8 ? assume that each die has 7 sides with faces numbered 1 to 7 .","""solution - rolling dices is an independent event . the combinations to get 8 are ( 1,7 ) , ( 7,1 ) , ( 2,6 ) , ( 6,2 ) , ( 3,5 ) , ( 5,3 ) , ( 4 , , 4 ) and total combinations of both dices is 49 . the probability of getting 8 in first attempt is 7 / 49 = 1 / 7 . probability of getting 8 again in second attempt = ( 1 / 7 ) * ( 1 / 7 ) = 1 / 49 . ans e""","a ) 1 / 144 , b ) 1 / 36 , c ) 1 / 12 , d ) 1 / 6 , e ) 1 / 49",e,"multiply(divide(7, power(7, const_2)), divide(7, power(7, const_2)))","power(n2,const_2)|divide(n2,#0)|multiply(#1,#1)|",probability
"in a certain animal population , for each of the first 3 months of life , the probability that an animal will die during that month is 1 / 10 . for a group of 250 newborn members of the population , approximately how many would be expected to survive the first 3 months of life ?","""the probability of survival for each of the first 3 months of life is 1 - 1 / 10 = 9 / 10 , so of 250 newborn 250 * 9 / 10 * 9 / 10 * 9 / 10 = ~ 183 is expected to survive . answer : e .""","a ) 140 , b ) 146 , c ) 152 , d ) 162 , e ) 183",e,"multiply(multiply(multiply(250, subtract(1, divide(1, 10))), subtract(1, divide(1, 10))), subtract(1, divide(1, 10)))","divide(n1,n2)|subtract(n1,#0)|multiply(n3,#1)|multiply(#2,#1)|multiply(#3,#1)|",probability
in how many ways can 11 books on english and 9 books on french be placed in a row on a shelf so that two books on french may not be together ?,"we have 11 english and 9 french books , no french books should be adjacent . imagine 11 english books in a row and empty slots like below : * e * e * e * e * e * e * e * e * e * e * e * now if 9 french books would be placed in 12 empty slots , all french books will be separated by english books . so we can ` ` choose ' ' 9 empty slots from 12 available for french books , which is 12 c 9 = 220 . ans : a _________________","a ) 220 . , b ) 240 , c ) 260 , d ) 280 , e ) 300",a,"add(add(choose(subtract(11, const_1), const_3), permutation(subtract(11, const_1), const_2)), choose(subtract(11, const_1), const_1))","subtract(n0,const_1)|choose(#0,const_3)|choose(#0,const_1)|permutation(#0,const_2)|add(#1,#3)|add(#4,#2)",probability
three coins are tossed . find the probability of at least 1 head and 1 tail ?,"""n ( s ) = 2 ^ 3 = 8 . . . . ( 3 coins tossed ) let e is the event of getting at least 1 head and 1 tail n ( e ) = tth , htt , tht , hht , hth , thh = 6 p ( e ) = n ( e ) / n ( s ) = 6 / 8 = 3 / 4 ans - c""","a ) 1 / 2 , b ) 1 / 4 , c ) 3 / 4 , d ) 7 / 8 , e ) 1 / 8",c,"multiply(const_4, multiply(divide(const_1, 1), divide(const_1, 1)))","divide(const_1,n0)|multiply(#0,#0)|multiply(#1,const_4)|",probability
two mba admissions committees are to be formed randomly from 6 second year mbas with 3 members each . what is the probability r that jane will be on the same committee as albert ?,"""total number of ways to choose 3 member committee - 6 c 3 = ( 6 ! / 3 ! 3 ! ) = 20 no . of ways albert n jane are in same committee : - ( 4 c 1 * 2 ) = 8 probability r = ( 8 / 20 ) * 100 = 40 % . + 1 for me . . : d""","a ) 12 % , b ) 20 % , c ) 33 % , d ) 40 % , e ) 50 %",d,"multiply(divide(multiply(choose(const_4, const_1), const_2), choose(6, 3)), multiply(multiply(const_5, const_5), const_4))","choose(const_4,const_1)|choose(n0,n1)|multiply(const_5,const_5)|multiply(#0,const_2)|multiply(#2,const_4)|divide(#3,#1)|multiply(#5,#4)|",probability
"if a certain coin is flipped , the probability that the coin will land heads is 1 / 2 . if the coin is flipped 5 times , what is the probability that it will land heads up on the first 2 flips but not on the last 3 flips ?","""p ( hhttt ) = 1 / 2 * 1 / 2 * 1 / 2 * 1 / 2 * 1 / 2 = 1 / 32 the answer is e .""","a ) 1 / 2 , b ) 1 / 4 , c ) 1 / 8 , d ) 1 / 16 , e ) 1 / 32",e,"power(divide(1, 2), 5)","divide(n0,n1)|power(#0,n2)|",probability
there are 7 red shoes & 3 green shoes . if two of red shoes are drawn what is the probability of getting red shoes,"""taking 2 red shoe the probablity is 7 c 2 from 10 shoes probablity of taking 2 red shoe is 7 c 2 / 10 c 2 = 7 / 15 answer : d""","a ) 1 / 13 , b ) 1 / 14 , c ) 1 / 15 , d ) 7 / 15 , e ) 7 / 16",d,"divide(choose(7, const_2), choose(add(7, 3), const_2))","add(n0,n1)|choose(n0,const_2)|choose(#0,const_2)|divide(#1,#2)|",probability
"the maitre ' d at an expensive manhattan restaurant has noticed that 60 % of the couples order dessert and coffee . however , 20 % of the couples who order dessert do n ' t order coffee . what is the probability q that the next couple the maitre ' d seats will not order dessert ?","""could you use a venn diagram and just go with the number 100 . 60 people order dessert and coffee . . . which is the union of d and c . q = 2 / 10 of d are n ' t in d u c = so 8 / 10 of d are in duc which means = 60 = 8 / 10 d . so d in total = 75 , and 15 d ' s are n ' t in d union c . which means 25 people are in c only + neither . b 25 %""","a ) 20 % , b ) 25 % , c ) 40 % , d ) 60 % , e ) 75 %",b,"multiply(subtract(const_1, divide(divide(60, multiply(multiply(const_2, const_5), multiply(const_2, const_5))), subtract(const_1, divide(20, multiply(multiply(const_2, const_5), multiply(const_2, const_5)))))), multiply(multiply(const_2, const_5), multiply(const_2, const_5)))","multiply(const_2,const_5)|multiply(#0,#0)|divide(n0,#1)|divide(n1,#1)|subtract(const_1,#3)|divide(#2,#4)|subtract(const_1,#5)|multiply(#1,#6)|",probability
"in a certain animal population , for each of the first 3 months of life , the probability that an animal will die during that month is 1 / 10 . for a group of 300 newborn members of the population , approximately how many would be expected to survive the first 3 months of life ?","""number of newborns that can die in first month = 1 / 10 * 300 = 30 survived = 270 number of newborns that can die in second month = 1 / 10 * 270 = 27 survived = 243 number of newborns that can die in third month = 1 / 10 * 243 = 24 survived = 219 answer : a""","a ) 219 , b ) 246 , c ) 252 , d ) 262 , e ) 270",a,"multiply(multiply(multiply(300, subtract(1, divide(1, 10))), subtract(1, divide(1, 10))), subtract(1, divide(1, 10)))","divide(n1,n2)|subtract(n1,#0)|multiply(n3,#1)|multiply(#2,#1)|multiply(#3,#1)|",probability
"a box contains 1 red balls and 5 black balls . one by one , every ball is selected at random without replacement . what is the probability that the fourth ball selected is black ?","""my complicated version of your simple approach let the 5 black balls be bbbbb and 1 red balls be r they can be arranged in 6 slots _ _ _ _ _ _ _ _ in ( 6 ! ) / ( 5 ! x 1 ! ) if the fourth slot is black ball then the arrangement will be to fill _ _ _ b _ _ _ _ we have 5 slots and 4 black ( bbbb ) and 1 red ( r ) they can be arranged in ( 5 ! ) / ( 4 ! x 1 ! ) hence required probability = [ ( 6 ! ) / ( 5 ! x 1 ! ) ] / [ ( 5 ! ) / ( 4 ! x 1 ! ) ] = 6 / 5 c""","a ) 1 / 4 , b ) 1 / 2 , c ) 1 / 2 , d ) 5 / 8 , e ) 2 / 3",c,"divide(add(1, 5), 5)","add(n0,n1)|divide(#0,n1)|",probability
"if x is to be chosen at random from the set { 1 , 2 , 3 , 4 } and y is to be chosen at random from the set { 5 , 6 , 7 } , what is the probability that xy will be odd ?","""probably the best way to solve would be to use 1 - p ( opposite event ) = 1 - p ( odd ) = 1 - p ( odd ) * p ( odd ) = 1 - 2 / 4 * 2 / 3 = 8 / 12 = 1 / 3 . answer : b .""","a ) 1 / 6 , b ) 1 / 3 , c ) 1 / 2 , d ) 2 / 3 , e ) 5 / 6",b,"divide(power(2, 2), multiply(choose(4, 2), choose(2, 1)))","choose(n3,n1)|choose(n1,n0)|power(n1,n1)|multiply(#0,#1)|divide(#2,#3)|",probability
"a box contains 2 red balls and 5 black balls . one by one , every ball is selected at random without replacement . what is the probability that the fourth ball selected is black ?","""my complicated version of your simple approach let the 5 black balls be bbbbb and 2 red balls be rrr they can be arranged in 8 slots _ _ _ _ _ _ _ _ in ( 7 ! ) / ( 5 ! x 2 ! ) if the fourth slot is black ball then the arrangement will be to fill _ _ _ b _ _ _ _ we have 6 slots and 4 black ( bbbb ) and 2 red ( rrr ) they can be arranged in ( 7 ! ) / ( 4 ! x 2 ! ) hence required probability = [ ( 7 ! ) / ( 5 ! x 2 ! ) ] / [ ( 6 ! ) / ( 4 ! x 2 ! ) ] = 7 / 5 b""","a ) 1 / 4 , b ) 7 / 5 , c ) 1 / 2 , d ) 5 / 8 , e ) 2 / 3",b,"divide(add(2, 5), 5)","add(n0,n1)|divide(#0,n1)|",probability
there are 8 pairs of socks and 2 socks are worn from that such that the pair of socks worn are not of the same pair . what is the number of pair that can be formed .,"""first of all you should remember that there is a difference in left and right sock . now no . of way to select any of the sock = 8 and for second = 7 so total methods = 8 * 7 = 56 answer : d""","a ) 53 , b ) 54 , c ) 55 , d ) 56 , e ) 57",d,"add(choose(8, 2), choose(8, 2))","choose(n0,n1)|add(#0,#0)|",probability
"a certain junior class has 1000 students and a certain senior class has 600 students . among these students , there are 60 siblings pairs each consisting of 1 junior and 1 senior . if 1 student is to be selected at random from each class , what is the probability that the 2 students selected will be a sibling pair ?","""let ' s see pick 60 / 1000 first then we can only pick 1 other pair from the 800 so total will be 60 / 600 * 1000 simplify and you get 1 / 10000 answer is b""","a ) 3 / 40000 , b ) 1 / 1000 , c ) 9 / 2000 , d ) 1 / 60 , e ) 1 / 15",b,"divide(1, const_3)","divide(n3,const_3)|",probability
there are 24 students in a class . in how many different ways can a committee of 3 students be formed ?,"""24 c 3 = 24 * 23 * 22 / 6 = 2024 the answer is c .""","a ) 1250 , b ) 1800 , c ) 2024 , d ) 3256 , e ) 2864",c,"multiply(subtract(const_1, divide(3, 24)), 24)","divide(n1,n0)|subtract(const_1,#0)|multiply(#1,n0)|",probability
three coins are tossed . find the probability of at least 2 tails ?,"""n ( s ) = 2 ^ 3 = 8 let e is the event of getting at least 2 tails n ( e ) = ttt , tth , htt , tht = 4 p ( e ) = n ( e ) / n ( s ) = 4 / 8 = 1 / 2 ans - a""","a ) 1 / 2 , b ) 2 / 3 , c ) 1 / 4 , d ) 1 / 8 , e ) 3 / 8",a,"divide(2, power(const_2, 2))","power(const_2,n0)|divide(n0,#0)|",probability
